Time	CountRate	Error
43649.00124	2.98726	2.89551
43649.00129	4.24595	2.05469
43649.00129	3.25532	2.10044
43649.00135	3.20733	1.75962
43649.00135	2.03634	1.46849
43649.00141	0.27124	2.13388
43649.00141	8.90106	4.78314
43649.00147	4.08668	3.96116
43649.07543	8.47775	3.68341
43649.07549	3.59441	2.11756
43649.07549	8.68724	3.22277
43649.19995	-6.66398	7.11369
43649.20001	0.43673	3.43588
43649.20007	3.51793	2.44414
43649.20007	2.66696	2.55668
43649.20013	3.48414	1.87226
43649.20013	2.08248	2.01852
43649.20019	13.53975	5.90036
43649.20019	6.30663	3.05189
43649.20025	0.57329	4.51021
43649.32476	13.13274	4.97506
43649.32482	-0.45202	2.65889
43649.32482	7.09041	3.08063
43649.32488	9.34166	2.56522
43649.32488	7.33756	2.66935
43649.32494	8.0633	3.50333
43649.32494	1.31479	4.85184
43649.325	11.12193	5.71609
43649.3733	2.7601	6.2221
43649.37336	3.8332	3.27489
43649.37342	7.45327	2.51626
43649.37342	11.34792	2.79298
43649.37348	8.28699	2.53403
43649.37348	5.4886	2.2571
43649.37353	6.10453	3.34909
43649.37359	10.06808	6.41418
43649.39872	4.70135	4.01659
43649.39878	5.49557	2.51506
43649.39878	7.83198	4.20865
43649.39884	6.99408	2.01638
43649.39884	5.87086	1.7764
43649.3989	3.30167	2.38096
43649.3989	6.29134	2.28874
43649.39896	6.5963	3.39015
43649.39902	-10.62365	5.9965
43649.77043	10.38778	7.95196
43649.77049	-2.65891	3.56599
43649.77055	7.06453	2.90517
43649.77055	7.19541	3.12625
43649.77061	5.7411	3.1497
43649.77061	8.50782	3.31656
43649.77067	7.26158	4.62621
43649.8457	6.12007	6.87824
43649.84575	-1.72695	4.2326
43649.84575	-0.81226	3.92739
43649.84581	4.21396	3.60019
43649.84581	9.35892	3.47195
43649.84587	7.25615	5.04134
43649.84593	9.91112	8.46755
43649.96926	-1.40912	6.81326
43649.96932	4.62076	3.94773
43649.96938	3.09258	2.64214
43649.96938	-0.85613	2.09831
43649.96944	-1.241	2.21404
43649.96944	0.11409	2.04117
43649.9695	3.2685	3.67341
43649.96956	9.49846	7.27118
43650.09271	7.60067	5.8184
43650.09277	14.37525	5.91159
43650.09277	8.68847	3.77496
43650.09283	7.45752	2.53028
